ID,Actual,Predicted,Posterior Probability
2905, <=50K, <=50K,0.425
6846, <=50K, <=50K,0.3
23873, >50K, <=50K,0.5
27746, <=50K, >50K,0.525
25673, <=50K, <=50K,0.325
10811, <=50K, <=50K,0.35
2675, <=50K, <=50K,0.45
9296, <=50K, <=50K,0.425
7733, >50K, <=50K,0.475
12547, >50K, <=50K,0.45
12148, <=50K, <=50K,0.125
7088, >50K, <=50K,0.425
24586, <=50K, <=50K,0.15
26750, <=50K, <=50K,0.225
19499, <=50K, <=50K,0.475
21191, >50K, <=50K,0.3
27441, >50K, <=50K,0.4
14765, <=50K, <=50K,0.25
23331, <=50K, <=50K,0.2
9478, <=50K, <=50K,0.2
5851, <=50K, <=50K,0.125
23493, <=50K, <=50K,0.4
29451, <=50K, >50K,0.525
14517, <=50K, <=50K,0.425
27289, <=50K, <=50K,0.1
22898, <=50K, <=50K,0.425
30930, <=50K, <=50K,0.35
20927, <=50K, <=50K,0.375
2426, >50K, <=50K,0.425
8247, <=50K, <=50K,0.3
31691, >50K, >50K,0.525
7063, <=50K, <=50K,0.175
31186, >50K, <=50K,0.475
16341, <=50K, >50K,0.525
21171, <=50K, <=50K,0.1
30838, <=50K, <=50K,0.425
32158, <=50K, >50K,0.525
29860, <=50K, >50K,0.525
30499, <=50K, <=50K,0.125
17197, >50K, <=50K,0.4
10328, >50K, <=50K,0.15
13794, <=50K, <=50K,0.15
1388, >50K, <=50K,0.4
4195, <=50K, <=50K,0.125
2489, <=50K, >50K,0.525
2541, <=50K, <=50K,0.05
18947, <=50K, <=50K,0.4
17704, <=50K, <=50K,0.4
15809, <=50K, <=50K,0.2
30175, >50K, <=50K,0.4
28338, >50K, >50K,0.525
25963, <=50K, <=50K,0.125
10465, <=50K, <=50K,0.45
13841, >50K, <=50K,0.375
12079, <=50K, <=50K,0.1
29070, <=50K, >50K,0.525
30262, <=50K, <=50K,0.125
20066, <=50K, <=50K,0.425
4476, >50K, <=50K,0.5
8260, <=50K, <=50K,0.4
9701, <=50K, <=50K,0.4
13291, <=50K, <=50K,0.5
8980, >50K, <=50K,0.4
20349, <=50K, <=50K,0.35
738, <=50K, <=50K,0.5
10680, <=50K, <=50K,0.1
20035, <=50K, <=50K,0.45
13636, <=50K, <=50K,0.125
18454, <=50K, <=50K,0.5
17269, <=50K, <=50K,0.4
31361, <=50K, <=50K,0.05
27538, <=50K, <=50K,0.4
8266, <=50K, <=50K,0.15
2457, <=50K, <=50K,0.425
14444, <=50K, <=50K,0.475
51, <=50K, >50K,0.525
10913, >50K, <=50K,0.425
12158, >50K, >50K,0.525
15757, <=50K, >50K,0.575
19587, <=50K, <=50K,0.125
15884, <=50K, <=50K,0.125
17845, <=50K, <=50K,0.35
21205, <=50K, <=50K,0.425
30528, <=50K, <=50K,0.425
13047, <=50K, <=50K,0.375
26684, >50K, <=50K,0.4
17332, >50K, <=50K,0.45
14324, <=50K, <=50K,0.125
31860, <=50K, <=50K,0.175
27160, >50K, <=50K,0.5
17808, <=50K, <=50K,0.45
25937, <=50K, <=50K,0.125
17772, >50K, <=50K,0.375
32244, <=50K, <=50K,0.4
25308, <=50K, <=50K,0.125
25704, <=50K, <=50K,0.2
3885, >50K, >50K,0.525
12665, <=50K, <=50K,0.175
21388, <=50K, <=50K,0.425
22945, <=50K, <=50K,0.425
8215, <=50K, <=50K,0.425
4333, <=50K, <=50K,0.5
12954, <=50K, <=50K,0.35
9183, >50K, <=50K,0.375
24392, <=50K, <=50K,0.15
26160, <=50K, <=50K,0.45
26460, <=50K, <=50K,0.5
22736, >50K, <=50K,0.4
23758, <=50K, <=50K,0.4
10442, <=50K, <=50K,0.175
24919, <=50K, <=50K,0.1
8953, >50K, >50K,0.575
11028, >50K, <=50K,0.475
22209, >50K, <=50K,0.425
30504, <=50K, <=50K,0.375
30556, <=50K, <=50K,0.5
22913, >50K, <=50K,0.175
27270, <=50K, <=50K,0.175
23302, >50K, <=50K,0.4
24480, <=50K, <=50K,0.425
392, <=50K, <=50K,0.4
1705, <=50K, <=50K,0.5
5284, <=50K, <=50K,0.45
