ID,Actual,Predicted,Posterior Probability
2905, <=50K, <=50K,0.27251168483939003
6846, <=50K, <=50K,0.06293987678106779
23873, >50K, <=50K,0.2272165092604235
27746, <=50K, <=50K,0.35525424694140884
25673, <=50K, <=50K,0.0376219852349987
10811, <=50K, <=50K,0.1215814781236808
2675, <=50K, <=50K,0.018616747468957563
9296, <=50K, <=50K,0.16454150067240544
7733, >50K, <=50K,0.3876294344047597
12547, >50K, >50K,0.5008653548289881
12148, <=50K, <=50K,0.01520827128209484
7088, >50K, <=50K,0.14349025871503546
24586, <=50K, <=50K,0.024618737210809493
26750, <=50K, <=50K,0.15729938527305534
19499, <=50K, <=50K,0.189146533608387
21191, >50K, <=50K,0.03442467157605259
27441, >50K, <=50K,0.25551034644976317
14765, <=50K, <=50K,0.10341867587357001
23331, <=50K, <=50K,0.041269338972076464
9478, <=50K, <=50K,0.040167304183446204
5851, <=50K, <=50K,0.015766820514671317
23493, <=50K, <=50K,0.3104037792500715
29451, <=50K, <=50K,0.26691070227231084
14517, <=50K, <=50K,0.22173338541619303
27289, <=50K, <=50K,0.053923073701961116
22898, <=50K, <=50K,0.04178824744002314
30930, <=50K, <=50K,0.12329399739781091
20927, <=50K, <=50K,0.08638623529224797
2426, >50K, <=50K,0.28972363039525617
8247, <=50K, <=50K,0.08392702688388909
31691, >50K, <=50K,0.2773548042197068
7063, <=50K, <=50K,0.08796526258727452
31186, >50K, <=50K,0.40641139934732917
16341, <=50K, <=50K,0.18502058492190734
21171, <=50K, <=50K,0.08410514186924577
30838, <=50K, <=50K,0.13020969633640572
32158, <=50K, <=50K,0.36365835018926024
29860, <=50K, <=50K,0.3239766406417723
30499, <=50K, <=50K,0.03703023232219652
17197, >50K, >50K,0.5638392932590977
10328, >50K, <=50K,0.2646249502529015
13794, <=50K, <=50K,0.04122238829009015
1388, >50K, <=50K,0.1469065016186122
4195, <=50K, <=50K,0.05907915668559889
2489, <=50K, <=50K,0.311635549245774
2541, <=50K, <=50K,0.06666915425973045
18947, <=50K, <=50K,0.08601236993797672
17704, <=50K, <=50K,0.08031833903423806
15809, <=50K, <=50K,0.11522302571142498
30175, >50K, <=50K,0.09843901214107185
28338, >50K, <=50K,0.41300471894425844
25963, <=50K, <=50K,0.0785390660096891
10465, <=50K, <=50K,0.07878889376240034
13841, >50K, <=50K,0.44536537400663273
12079, <=50K, <=50K,0.08086336301669789
29070, <=50K, <=50K,0.03526940725780853
30262, <=50K, <=50K,0.07441094975388614
20066, <=50K, <=50K,0.19620372426642868
4476, >50K, <=50K,0.32880967301589914
8260, <=50K, <=50K,0.08766287543647094
9701, <=50K, <=50K,0.29988015052919464
13291, <=50K, >50K,0.5009982033098799
8980, >50K, <=50K,0.07609591649949407
20349, <=50K, <=50K,0.1410550203449846
738, <=50K, <=50K,0.3828074627644777
10680, <=50K, <=50K,0.07440382519525243
20035, <=50K, <=50K,0.29868955192162056
13636, <=50K, <=50K,0.07347744142574043
18454, <=50K, <=50K,0.4314318098100011
17269, <=50K, <=50K,0.24957128217680707
31361, <=50K, <=50K,0.04208485706701036
27538, <=50K, >50K,0.6231958202578349
8266, <=50K, <=50K,0.14115094727948552
2457, <=50K, <=50K,0.21195958564241038
14444, <=50K, <=50K,0.2414182956245017
51, <=50K, <=50K,0.10277884519188527
10913, >50K, <=50K,0.22316818570420957
12158, >50K, <=50K,0.19021432034228405
15757, <=50K, <=50K,0.06414476420232144
19587, <=50K, <=50K,0.059576169225027266
15884, <=50K, <=50K,0.017003766319503146
17845, <=50K, <=50K,0.08090784592903309
21205, <=50K, <=50K,0.28182493345724924
30528, <=50K, <=50K,0.40290507009058885
13047, <=50K, <=50K,0.2656647648754683
26684, >50K, <=50K,0.3069361471308353
17332, >50K, <=50K,0.34410871930362785
14324, <=50K, <=50K,0.03668352169299391
31860, <=50K, <=50K,0.05494061466953623
27160, >50K, <=50K,0.36695695998240613
17808, <=50K, <=50K,0.0
25937, <=50K, <=50K,0.10145693244028371
17772, >50K, <=50K,0.2792838384027622
32244, <=50K, <=50K,0.10929166332763715
25308, <=50K, <=50K,0.10494829612887638
25704, <=50K, <=50K,0.015229031884248595
3885, >50K, <=50K,0.3606816469052292
12665, <=50K, <=50K,0.10699047300495589
21388, <=50K, <=50K,0.42088722507179516
22945, <=50K, <=50K,0.3826123139954304
8215, <=50K, <=50K,0.24628444605312214
4333, <=50K, <=50K,0.4503292887284352
12954, <=50K, <=50K,0.0948790286351408
9183, >50K, <=50K,0.3600353242824529
24392, <=50K, <=50K,0.01735372711397664
26160, <=50K, <=50K,0.3457848750780708
26460, <=50K, <=50K,0.4096093090466568
22736, >50K, >50K,0.5050085539268367
23758, <=50K, <=50K,0.08463299298424179
10442, <=50K, <=50K,0.06292056099231517
24919, <=50K, <=50K,0.0
8953, >50K, <=50K,0.2739826797260368
11028, >50K, <=50K,0.3492766011945846
22209, >50K, <=50K,0.14523871358156445
30504, <=50K, <=50K,0.06144374246359638
30556, <=50K, <=50K,0.3370156867982706
22913, >50K, <=50K,0.030330018891320778
27270, <=50K, <=50K,0.16975151263721733
23302, >50K, <=50K,0.2540589257806705
24480, <=50K, <=50K,0.08238167849118291
392, <=50K, <=50K,0.18644569860822302
1705, <=50K, <=50K,0.0
5284, <=50K, <=50K,0.12284932694892178
22396, <=50K, <=50K,0.16025506459152208
